recipe,null_n,null_abs_gt_0_5,null_abs_gt_0_9,tewhey_n,tewhey_q_abs_gt_0_5,tewhey_q_abs_gt_0_9,tewhey_q_exact_1,spearman_r,spearman_p,spearman_ci_lo,spearman_ci_hi
max,5933,0.012809708410584864,0.004213719871902916,3275,0.5132824427480916,0.1282442748091603,0.0012213740458015267,0.12326103111908493,1.459879110103265e-12,0.08788532575035349,0.15688001430475518
mean,5933,0.0,0.0,3275,0.5328244274809161,0.12610687022900763,0.0015267175572519084,0.11763431950962527,1.4500036755378825e-11,0.08275892648870695,0.15172647126557948
median,5933,0.0,0.0,0,,,,,,,
