predictor,spearman_r,ci_lo,ci_hi,p_value,n
"Original quantile (single-track calib, max applied)",0.036736836594219696,-0.0024785919618702697,0.07219395640899864,0.03635513539871387,3246
Matched-calibration quantile (max-track calib),0.1224695715238218,0.08760659509838925,0.15726576476699508,2.537369134325859e-12,3246
Phred empirical (monotone transform of #2),0.1224695715238218,0.08760659509838925,0.15726576476699508,2.537369134325859e-12,3246
Raw max signed delta (no normalization),0.12245157111589038,0.08759156502484944,0.15725744203278388,2.556218468048592e-12,3246
