lfc_bin,orig_quantile_r,orig_quantile_n,raw_matched_r,raw_matched_n
0–0.05,-0.015310456029538223,1512,0.07606637826849781,1516
0.05–0.10,-0.00020124641232487314,892,0.10790158099007567,897
0.10–0.20,0.04398181045083422,553,0.1339109463182672,558
0.20–0.50,0.18542487567765387,242,0.2401595975366467,244
0.50+,0.24506357789339367,60,0.45129202556265635,60
