aggregation,spearman_r,ci_lo,ci_hi,p_value,abs_gt_0_5,abs_gt_0_9,median_abs,n
max-over-tracks (current),0.12324466304169146,0.08786145914635855,0.1568642776122903,1.4698882844068711e-12,0.028396946564885495,0.01099236641221374,0.02447676658630371,3275
mean-over-tracks,0.11762453425866763,0.0827532151292606,0.1517115955565903,1.4556698080859056e-11,0.0,0.0,0.0003927778161596507,3275
